variable,coef,coef_exp
estado[T.Baja California],1.2959647248890958,3.654519880354224
estado[T.Baja California Sur],-0.41792147688032155,0.6584139271106259
estado[T.Campeche],-1.032145386327217,0.35624186372483346
estado[T.Chiapas],0.14489969874438244,1.1559236238624617
estado[T.Chihuahua],0.4744025261089628,1.6070537379396912
estado[T.Ciudad de México],2.663974355644817,14.353220694222351
estado[T.Coahuila],-0.2368954080129973,0.7890738144998805
estado[T.Colima],-0.3429880482892342,0.7096466930015455
estado[T.Desconocida],-0.3054898097543865,0.7367624125811887
estado[T.Durango],-0.6031570739175062,0.5470817293506678
estado[T.Estado de México],2.9577661896321845,19.25491185784582
estado[T.Extranjero],-0.005160207506325695,0.9948530834931623
estado[T.Guanajuato],1.5926249956901566,4.9166381578138045
estado[T.Guerrero],0.9347070675773383,2.546467405606559
estado[T.Hidalgo],0.5692387071499162,1.7669213946548727
estado[T.Jalisco],2.490533386894819,12.067711163093293
estado[T.Michoacán],1.2184659282670796,3.381995528291072
estado[T.Morelos],1.0669697370776678,2.9065585052901497
estado[T.Nayarit],-0.5000630365226821,0.606492427333976
estado[T.Nuevo León],1.0132216913932754,2.7544607581923763
estado[T.Oaxaca],0.06301728532654015,1.0650452487271025
estado[T.Puebla],1.8061384931295172,6.086897396065891
estado[T.Querétaro],0.8916803842316566,2.4392250447115273
estado[T.Quintana Roo],0.3383413865270381,1.4026192569975604
estado[T.San Luis Potosí],0.6084132474977985,1.8375134053334332
estado[T.Sinaloa],1.3691600049114612,3.932046408201429
estado[T.Sonora],0.3558599151288627,1.4274075760512799
estado[T.Tabasco],0.9231870417308006,2.5173003603988566
estado[T.Tamaulipas],0.3838832813896658,1.4679740917863235
estado[T.Tlaxcala],0.3269979862843173,1.386798684559231
estado[T.Veracruz],1.0929998369796439,2.983209806084393
estado[T.Yucatán],-0.6146154763868428,0.5408488244740765
estado[T.Zacatecas],-0.4810248416849372,0.6181495616355369
